"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_70649",0.4904,0.12262,103.9724,0.0362,0.328526,0.256842,0.4972,-9.1772,0.27404,45.2241478607,-11.485068237,9.0889320786,-3.3311505803,6.3791841176,-23.6246869628,-3.8288238239,-4.79638292,-7.7123890553,-3.8451790354,-7.6828187796,-0.4253189108,47.9261699434,4320.5170387162,1778.1161659278,1852.7613597979,991.4295682686,671.4546317288,479.7320360796,421.8755541968,257.7376988593,278.4708300492,252.821291339,191.9872654569
"User_656133",0.53825,0.1668333333,124.4866666667,0.0483666667,0.4903408125,0.2197535333,0.5555833333,-8.8802916667,0.3681166667,45.6546515644,-5.1324939731,-1.4622957621,-8.3909579896,14.5064963112,-22.9572761114,-4.174590895,-3.1728593099,-5.6881877024,-1.8152468651,-8.5356210049,4.079843861,51.5872069678,3019.8898066096,1738.7780625529,1500.2607801371,666.7403906927,688.3275813657,456.0012321526,476.9420017471,252.7662698435,260.5563109953,256.7539057623,194.3925720169
"User_230688",0.416,0.109,124.893,0.0374,0.77,0,0.59,-8.662,0.526,43.8033858156,-20.6953007092,-47.9614170213,-25.7667787234,32.2503304965,-27.6115219858,-16.399764539,-5.8341262411,-12.5888170213,-4.4290269504,-10.7607205674,3.2070695035,78.7682702714,3153.0877872816,1697.0664322435,1797.6127866385,910.729489071,949.4150842385,426.3561691462,657.9042551332,290.1447089963,291.065808728,282.7741158721,185.72024365
"User_292999",0.3470285714,0.1357571429,119.514,0.0416714286,0.6507142857,0.2930896143,0.5107142857,-14.1242857143,0.3682857143,40.7817778827,-33.9660845316,-15.8063624803,-13.4875681851,25.9674525371,-20.7585480085,-7.2787163107,-5.7661078926,-6.2633811006,-3.9522549867,-7.8585614649,1.7030488949,42.2975606526,3143.4853547274,1629.818455873,1594.407466458,644.3929863741,634.0295628697,461.2254111023,546.1298547114,261.4527818935,305.9740587136,254.945733233,154.4309814691
"User_828232",0.2425,0.1017,119.3335,0.0335,0.5695,0.00030043,0.524,-12.907,0.2545,39.0586280477,-14.6625928973,-29.8965364277,-28.9274359566,10.6852320303,-17.2148785467,-1.4815673752,-3.0514065217,-8.9141715629,-5.4367746276,-10.6388653413,2.7540834837,79.2162830276,3804.0139264783,1992.9429291766,2258.1366373316,705.4886519899,847.6625678737,740.8984095467,713.8005867161,336.0429386944,350.2056707982,392.1820005838,217.6518717286
"User_236388",0.6394,0.2704,106.9012,0.0367,0.3248,0.199648,0.657,-8.5854,0.6014,46.2204236702,8.6270176602,-21.1999411285,-9.9565518335,16.3358754892,-23.5779608961,-9.92200187,-2.897180725,-5.0155644265,0.4515727162,-8.7780329622,-1.6907243431,35.7554835091,3133.3714312187,2185.7518893146,1505.2855979153,688.8525074186,992.4627733521,662.9696187263,470.2150068908,337.1309171475,325.9954840236,285.9929005303,206.3983928988
"User_204509",0.3346666667,0.0936,98.886,0.0357,0.2786666667,0.1755233333,0.5253333333,-14.6126666667,0.1793333333,39.8382036326,-14.9806039674,-11.5479512445,-15.9823505516,4.1403174718,-22.5380666272,0.4517061538,-0.609178121,-14.4261561942,-4.4018709849,-9.3139107968,-4.7752857314,47.3120873898,2098.206435357,2059.5659100064,1154.8616335242,813.6397152153,532.8868976561,440.4093277435,420.0230201834,305.5402264768,226.4253122552,189.808974805,163.497956224
"User_153696",0.36558,0.17526,126.9876,0.03584,0.68468,0.3695,0.3876,-10.1102,0.2356,44.9590580015,-13.5782050197,11.8998733844,-15.6501767274,1.0330772618,-21.2467774353,-8.5187879764,-2.3862473377,-10.7655002303,-4.9626583947,-5.3894992433,5.6328848335,59.0103076988,3839.7322515311,1710.9794932757,1294.469503493,735.8774360838,423.9654562148,485.4879015392,355.6126843496,270.714242017,227.1864007564,193.1423109971,217.9987813109
"User_633970",0.3355,0.403,82.2395,0.0693,0.783,0.000188,0.457,-12.3565,0.3895,40.24268678,-15.5751780214,-8.736045031,-9.8232780483,27.2565259122,-12.7319601333,-8.932956089,-2.6304331546,-3.2641545742,-1.2922148258,-10.9792315425,2.9324442818,63.5227221866,3145.3941343034,2133.5170312078,2218.7801636916,644.4955086259,963.5792038545,570.9925762424,639.7512248869,274.8263724767,305.5007431355,376.6919696423,210.8744257393
"User_7207",0.39275,0.1761125,129.397375,0.0578125,0.579625,0.2803673863,0.543,-12.44625,0.3699625,42.489778238,-26.8219561159,-22.2292826017,-12.8674924197,20.6107958203,-25.8461046127,-5.1301893631,-5.8241939389,-3.8389456215,-2.7454126892,-7.4935132839,2.240201559,40.3130788604,2596.0781487577,1897.0611375415,1904.8989192923,607.4705754909,885.5349796449,499.2293425092,542.8419207155,248.110709192,320.3095013875,265.0562100152,189.5343651561
"User_24683",0.3713166667,0.2149452381,110.4176428571,0.0411095238,0.5812477381,0.3335969333,0.468952381,-12.9902857143,0.2814595238,41.4882575632,-25.6218350211,-1.9386720855,-11.2556920147,22.5558683912,-26.1658206839,-3.3850551974,-2.69421315,-3.451052451,-0.7423319052,-8.0722410688,0.5481199955,42.2445698374,3159.3492555845,1884.38714422,1316.8541569698,751.9706675855,618.1030400041,536.1227630739,432.5149099953,298.7690557944,252.3216660553,221.4971484335,193.8632445957
"User_1114436",0.2506,0.13868,104.302,0.04412,0.7722,0.136673568,0.4632,-12.4595,0.29429,41.4189192417,-32.270928635,-7.5381506174,-15.6929720509,21.5348348022,-19.1705392831,-7.5235162971,-5.2918483682,-5.6433696121,-2.3923855547,-8.4163000392,4.9824609257,51.7067483073,3812.1652081556,1737.6265767367,1730.9327888743,753.3356374585,754.2979609267,539.6548423624,592.9515245543,305.7939894076,308.8692128131,314.6657086126,218.5117301295
