user_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence,mffc1-mean,mffc2-mean,mffc3-mean,mffc4-mean,mffc5-mean,mffc6-mean,mffc7-mean,mffc8-mean,mffc9-mean,mffc10-mean,mffc11-mean,mffc12-mean,mffc1-variance,mffc2-variance,mffc3-variance,mffc4-variance,mffc5-variance,mffc6-variance,mffc7-variance,mffc8-variance,mffc9-variance,mffc10-variance,mffc11-variance,mffc12-variance,relax
User_281041,0.538875,0.1277625,130.153875,0.1401375,0.25315,5.87875E-06,0.73975,-7.343875,0.668375,45.5348176082,25.1751906188,-11.5145943462,0.3961615219,27.8497802984,-10.2625183024,-7.4187028362,0.1039988586,-3.4180509813,1.0541768497,-14.8081480863,-1.3216718382,57.327554421,2315.5300753237,2702.0252061148,2868.2940446156,1210.8824763854,1559.347402286,695.4726506853,651.1925610348,324.6619295989,362.4502090393,489.3011064121,237.7882077176,1
User_178933,0.5686315789,0.1861631579,126.6112631579,0.0445,0.4181000053,0.1203657968,0.4719473684,-8.8959473684,0.3938105263,46.4231079689,-1.3143073826,6.9794066772,-8.9249875437,14.1521948943,-22.6817569179,-1.2250287587,-1.7578337023,-6.8300485491,-2.1341701071,-7.798766491,2.1138284228,43.5445500705,2549.0589912846,1807.904026273,1341.525636971,648.7496005798,585.8438053712,511.3431823628,418.4856564468,262.6314688759,239.0434289858,238.5821567344,190.9881802959,1
User_1166234,0.387,0.1060333333,120.534,0.0341666667,0.7853333333,0.425,0.6683333333,-11.6176666667,0.294,40.8275873368,-52.1426840052,-20.4756072747,-7.305260025,31.442716139,-25.0981601763,3.3857382131,-6.1500937927,-2.5205253485,1.902082059,-9.9643674389,1.024701686,65.1518866375,3833.5381639083,2618.2701993143,2210.5727013323,864.8022782767,974.4966681213,538.2561929434,874.0129056431,296.0890381502,515.091611441,323.2432333526,219.6244427419,1
User_509979,0.095,0.149,104.65,0.0361,0.605,0,0.685,-11.908,0.276,40.4230017762,-2.8273712256,-16.0287744227,1.3961847247,40.5153108348,1.9478774423,6.3766305506,-0.6462735346,-12.1105683837,-2.0807655417,-19.9838401421,-1.3091527531,37.0986471157,2632.9254369242,3798.4165045665,4304.5989002505,528.4589663641,1514.2544749547,809.7239058063,713.8644616546,217.2529338472,423.3562091122,829.6845591025,156.7865982293,1
User_722759,0.6465,0.1629,139.857,0.0857,0.3936,0.00000092,0.6195,-5.8995,0.561,48.2058952558,41.711430266,26.1193820443,2.7745651519,34.5079838387,-8.7631267563,-1.49272652,2.2152513945,-11.0524054754,0.1269839086,-13.1177929336,-2.4064475492,28.9546836834,3205.660709814,3022.7458942668,2424.9724890119,910.1206498,1139.8038387668,792.5140507979,567.7141578934,472.6664876347,402.9707455701,373.3425967649,206.4053722079,1
User_739597,0.6396,0.20663,111.6351,0.04253,0.21904,0.0750982,0.5702,-7.6079,0.4126,47.5653787559,16.9174534617,-3.8144483284,-9.5950701536,15.6221850876,-24.403777749,-3.6792516855,-2.0416811282,-4.2280836882,-0.3292930691,-7.9738620887,1.3322317085,34.1856067032,2256.5616935351,1502.4825288068,1193.2928592457,623.4216215837,659.4626094079,493.6615207386,450.3521271441,229.4740486176,265.3356951752,215.3339445097,188.3418591281,1
User_512136,0.3756666667,0.1815777778,115.3621111111,0.0311666667,0.4789322222,0.1129582444,0.4861111111,-9.7628888889,0.267,44.1790615398,-7.8579923147,-8.6239143639,-16.2820624097,14.6654343225,-21.747110046,-7.4321241533,-4.7000939018,-4.3980267931,-2.4621977989,-8.4492168111,1.3233150914,44.4093848417,3012.8537566299,1522.1008662731,1691.8396584874,732.0032816833,719.3363608375,470.2646207367,563.5948603064,239.4142385281,277.5408047006,277.3595614445,189.0061810958,1
User_274174,0.08095,0.0851,145.946,0.0421,0.561,0.673,0.25,-19.06,0.07505,31.4073881555,-35.5488244308,17.9136619105,-14.252996455,24.5425448843,-29.5047534231,3.7014486973,7.3019171156,-7.3141001558,0.2211251798,-6.2814893152,-2.3444747571,136.9234465501,6188.4586170155,4462.0359266487,1695.5798099078,2377.6033102548,441.4348877688,737.4340247417,358.2297903082,375.1396074485,215.7970604555,168.0190526908,367.8134796208,1
User_449739,0.4446,0.11693,129.8235,0.04022,0.513,0.53453321,0.4451,-11.6181,0.20926,42.4943145231,-31.509862268,7.4093396432,-9.679978826,17.3731662512,-26.1014357881,-5.276334076,-2.7852573895,-6.8203842908,-3.6289487996,-5.6088047683,0.8626153293,54.5350430462,3465.0628528143,1647.3764949917,1088.7185907543,703.8336097163,500.5111627404,427.9446341183,432.8974283483,278.5367756521,234.2515441714,192.7022383226,183.0374014301,1
User_885255,0.322375,0.14925,132.429,0.0364125,0.759875,0.1917391375,0.417375,-12.43575,0.2199,42.1741623099,-45.9737517233,-6.6430774458,-20.1712883092,21.9062825416,-23.1514548632,-10.3191019575,-4.3029852071,-5.2166481052,-4.5321406493,-6.4362502553,4.2130381527,48.0164278567,3400.6342466533,1346.0541575216,1384.4756839555,696.9522942698,549.4953099463,460.8369656908,469.2541741535,253.106946123,254.1134683748,191.0099879355,173.902668763,1
User_541340,0.452,0.0939,146.945,0.0372,0.878,0.392,0.635,-15.037,0.885,41.4299249677,-49.2809172057,-50.1667826649,-17.7796287193,18.8477270375,-22.1961474774,-10.1768758085,-7.7520776197,-6.885549806,-5.2687736093,-4.6377231565,13.4932199224,24.774915528,2185.4488611279,898.6885123258,1713.7641337622,428.0134740744,976.6567807658,339.4019505338,596.9934868774,190.2019723178,293.4537675251,241.5283432315,142.6919264257,1
User_431884,0.7641875,0.174,112.848625,0.08086875,0.105742125,0.0429302256,0.5225625,-6.7684375,0.5699375,49.0486172608,46.815716047,6.9640670181,-4.3443274741,14.6894230828,-22.2596575903,-0.7592939816,1.9613899104,-7.6652011569,1.2016996731,-9.4936749153,-1.0976287193,25.7199987382,1965.608760529,1519.5268227434,1370.282098102,717.0636623269,729.479586824,488.6538936805,429.2870782778,255.0670188253,259.9900547174,268.01651634,194.9919536401,1
User_214560,0.7343333333,0.1313333333,115.5673333333,0.0344333333,0.38287,0.1205426233,0.5516666667,-6.454,0.4453333333,49.7269824878,44.3462045772,15.4507630503,0.4439178232,24.6451954656,-26.9680090274,-9.068843631,1.7329056808,-11.64980871,1.4258084791,-7.5834375805,1.4921853762,36.014358785,1823.5118881557,1305.0324702009,1026.9113184445,698.203105774,544.6179490111,629.1936313021,361.2548738565,240.533734176,245.2663598037,161.6698067073,175.3117434782,1
User_987366,0.303,0.312,107.103,0.0971,0.865,0.0239,0.511,-14.688,0.238,37.2277351695,-50.3902002119,-6.6859936441,-8.6777341102,24.8709152542,-16.156378178,2.6374375,-3.3371769068,-6.106967161,-1.4886864407,-11.4939067797,4.866717161,98.2638566233,3777.1146018825,2264.3681835949,1876.3380107871,768.5225241264,994.0553389947,432.0118542273,501.5221185996,221.1866767953,326.6226515368,381.6736337707,246.4643056304,1
User_82219,0.7295454545,0.2370545455,121.2919090909,0.0437363636,0.4329256364,0.1641959636,0.6100909091,-7.0481818182,0.6654545455,48.3179338744,21.1890712044,2.950247676,0.9993766737,20.8563534913,-20.8418552796,-5.8554123235,-4.5175766382,-5.0197555005,-0.5236420905,-9.2781763858,-0.5201739193,28.8395929968,1906.7422249135,1626.2227120303,1440.2663324146,607.9450043201,1000.4418296241,466.0762652028,416.1403718804,242.3684360092,270.7155756649,284.071808131,184.0111836065,1
User_553439,0.282725,0.11085,106.561875,0.0410125,0.688625,0.00608928,0.578375,-13.03275,0.3731375,40.6275539399,-20.1758433685,-26.5601792299,-18.766049824,27.0819541492,-15.6281249996,-10.1972513813,-7.0091058029,-2.9907444451,-3.065541919,-10.518593118,4.3771232691,46.6981566794,3520.7332780965,1543.4539553315,2219.7187641561,693.5152129552,897.2075202797,606.2263452626,650.7618842108,314.1054999374,361.6760873615,372.6341383653,208.0631834332,1
User_114615,0.682,0.12,98.944,0.514,0.585,0.0000281,0.439,-8.203,0.558,46.6317920434,-40.5847504521,-16.8606509946,-30.4769620253,12.3298173599,-13.5450198915,-11.8592585895,-3.1124611212,3.982994575,-10.299238698,-15.3655081374,-4.9311754069,21.2207347012,4945.9791909449,1970.8224280066,3637.7088644533,636.2605220481,887.281240784,438.7461999493,940.9042077308,216.3849573605,331.3291219538,784.0275182794,168.0014240652,1
User_1561172,0.5722,0.1170933333,110.9362333333,0.05562,0.3417993333,0.1307893997,0.5814666667,-8.9061,0.5028666667,45.6480848739,9.7910655691,-3.7236706133,-5.8166770572,15.0577532079,-19.7367220411,-2.602427759,-2.7638804053,-5.0360488395,-0.3680216596,-10.5592910027,0.243289557,44.4139932667,2759.8273718881,1955.4649127612,1620.7256264771,690.9892536873,908.4851950423,527.8249816531,502.6093635318,255.7304205505,284.0080949864,283.9179612536,199.5162875565,1
User_25360,0.4231428571,0.2113214286,117.1572142857,0.03765,0.4082880714,0.2154485671,0.4294285714,-10.7874285714,0.2296642857,44.0773774528,-1.8271955747,10.1106811864,-11.0075429212,17.1499333381,-25.3811218194,-2.9020934067,-3.4872234898,-4.4830641692,-2.3758068877,-7.6597580586,1.42562095,52.6048581878,3610.5503398961,1788.6530369035,1187.3952554277,585.8886845069,465.3690200968,492.5024606106,377.3081115564,297.5127646396,215.304818098,178.300901432,214.9790103496,1
User_66437,0.3783333333,0.116,118.2746666667,0.0388,0.5114324444,0.0356623678,0.479,-11.1452222222,0.2488888889,42.2161014025,-19.062247747,-18.1202864012,-18.6634668947,7.5015399194,-20.3635867306,-7.1557540199,-5.1147545979,-7.2395149862,-3.8181451047,-9.0115102992,-0.1867522826,57.5365108632,3974.6153889697,2199.8833547866,1697.1835010505,819.6357053321,749.9075705489,558.8012872214,564.2644323822,298.1704073456,304.8034517615,304.742808745,225.2008185337,1
User_110920,0.2657172222,0.1266222222,110.3853888889,0.0406555556,0.7212333333,0.2903295222,0.4627777778,-14.3687222222,0.2254888889,39.8801790994,-41.0768034227,-19.1479404372,-19.1013654378,20.1422880746,-23.5884482438,-3.3610561032,-3.6500220305,-6.9800612336,-3.2769221308,-7.9521409775,6.7914087921,52.4422125977,3450.0499806259,1702.5400224831,1621.0294350602,637.6261522092,712.8739059736,475.2184987858,517.8920910262,279.6247370901,269.1605425183,247.6749975715,183.6189841472,1
User_111261,0.465,0.09706,128.31,0.0461,0.4084,0.43902,0.4712,-12.2794,0.42556,42.7460964157,-36.4030239616,-4.5175139394,-3.4342806483,13.7142156977,-27.4509955968,3.0024947198,-2.0067510451,-3.5279428122,-2.5998406584,-9.484066689,-1.6539019331,37.1599058808,4369.6838732384,2082.1073092248,2095.4504422402,809.0057203532,1022.5458982077,594.934018592,598.3444665796,269.2167994866,308.1065695274,334.3627143294,218.7503056216,1
User_136859,0.6451428571,0.1057142857,120.9107142857,0.0622285714,0.4034,0.5005658571,0.5857142857,-8.5761428571,0.4871428571,46.0136225536,-7.7013216588,-9.3071423588,-5.4673323191,18.9195770562,-29.8066665524,-3.4948981743,-6.092158869,-4.0182169645,-0.5113061582,-10.309297678,-0.3062508078,38.8944376708,3222.8891309867,3216.0061272135,1685.9788993071,1048.9822061183,857.4884154474,601.8474203683,579.2999240255,397.0696859824,341.1512158474,264.8895450625,181.9164687447,1
User_427515,0.5006111111,0.1411666667,128.3998888889,0.0535055556,0.3673444444,0.17195825,0.5666666667,-9.5324444444,0.37845,45.1952152743,1.7495483272,-6.3280209264,-9.4764174236,16.5444609876,-23.1413020226,-4.2186412943,-3.2577111493,-5.0296529748,-0.9764027534,-8.8689875532,0.0350356217,45.4605722574,3213.5293120508,1708.9082901085,1730.6672925151,701.9195935287,847.0553095595,507.5939591503,557.3140580671,277.196768795,295.9695052818,250.9637099256,179.140640999,1
