"user_id","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","loudness","valence","mffc1.mean","mffc2.mean","mffc3.mean","mffc4.mean","mffc5.mean","mffc6.mean","mffc7.mean","mffc8.mean","mffc9.mean","mffc10.mean","mffc11.mean","mffc12.mean","mffc1.variance","mffc2.variance","mffc3.variance","mffc4.variance","mffc5.variance","mffc6.variance","mffc7.variance","mffc8.variance","mffc9.variance","mffc10.variance","mffc11.variance","mffc12.variance"
"User_1208340",0.3965,0.09345,98.578,0.0367,0.678,2.77e-05,0.757,-8.1115,0.379,44.324045057,-9.7363499442,-23.9386419152,-14.3554296788,24.7481249482,-10.7086997897,-17.6950828772,-0.9250606417,1.0798212876,0.3745444424,-12.9031457008,-0.682026336,70.0311740985,5127.3052294326,2470.3179053738,2947.6429250294,706.989910961,1228.8140781396,702.3657768227,802.8846913089,309.5633765013,389.1141735992,519.7433891603,198.1547829277
"User_165650",0.5181666667,0.2078333333,126.2206666667,0.0852166667,0.4791666667,0.0013112667,0.6875,-8.049,0.6545,46.0951852375,21.3724402183,14.2527438927,4.9536520941,32.2631459374,-14.8830010151,-1.7480770616,-0.1349270127,-8.0895406029,-1.5976748123,-12.0985501932,2.0072923916,45.2053327272,3338.717399244,2587.9136662151,2601.3993555789,1468.5402209884,967.6847786213,901.5554373824,557.7355912384,331.6072696318,332.8088655416,425.6266458732,227.7704204365
"User_414698",0.6804,0.32826,111.5752,0.08764,0.314228,0.29476206,0.6866,-9.3546,0.7366,45.4045669327,17.7206201327,-15.8259623293,7.575089353,14.6596175728,-18.2865616015,-3.0359141652,0.7790061565,-9.1174401149,1.1609978978,-11.5958957964,-0.8137905854,29.5820164367,2241.5302934671,2343.5302726703,1900.4647193382,792.6622073899,1263.7313448442,503.8026390135,460.4088791195,335.3222592438,302.1976728695,367.9501010503,185.8438549516
"User_362580",0.69875,0.265275,98.575875,0.2543125,0.22434625,0.2550046625,0.5525,-8.36325,0.56525,45.5925877458,11.7154408279,-16.1569821261,-7.7836806499,16.5343939442,-21.5648664252,-9.1423484351,5.2769569451,-6.8211364631,0.7529102861,-13.327317501,-2.2753019025,31.8084053646,2190.7650194701,2659.8234408327,2000.8600839349,728.7325484638,781.9045442454,613.769439043,646.5563666248,337.9858487097,377.2449237728,347.5880467802,181.3896250512
"User_1419282",0.711,0.443,160.048,0.0623,0.109,0,0.653,-6.454,0.769,49.2149470443,39.2144926108,23.2942807882,5.6468866995,36.2370640394,-20.707476601,-4.9616514778,1.1424027094,-13.7554987685,-0.2774963054,-11.3860689655,-8.7601453202,29.7825687851,1808.4883853773,2135.9587915512,1723.01117451,836.6058538356,1052.0434041067,537.9703599413,660.7189882285,223.8850939988,343.6125242972,445.1234253171,126.1543715596
"User_650501",0.712,0.2224,117.8044285714,0.0652857143,0.1550247857,0.1921644421,0.7034285714,-6.9880714286,0.531,47.9827199985,22.7838519461,-3.3185130505,-0.6793394063,12.4002007841,-22.3702167417,1.7891108638,0.890025793,-8.8351537031,1.3935325272,-11.6461986566,-1.828362228,30.7745956172,3228.4076431402,2321.4561768713,1901.0841326242,868.3629663101,1236.2481596876,622.2343285618,611.1755129691,298.7459747179,368.1888589949,365.9859179478,194.1060203381
"User_1251986",0.5224,0.2322,98.1444,0.21944,0.28506,7.8072e-05,0.5686,-10.8214,0.3108,43.5209178216,35.4245835523,9.1152614316,-6.0347543742,26.6859466157,-14.076873067,-6.6030004818,1.1411754353,-6.8006381435,2.0233039266,-12.3350263974,0.406909482,52.3263942078,2458.3503071152,1585.4609350063,2454.6033278101,645.7413437242,985.942919058,660.5362237909,788.3578169957,294.9266641985,379.5989749173,397.1895830493,235.665428364
"User_179377",0.6262,0.19813,114.6825,0.10472,0.3141888,0.015499838,0.62405,-6.5843,0.561,47.9506715768,15.2779578921,-3.8024367988,-5.8380760665,19.9126475969,-17.3588798458,-2.7698899188,-2.2680998494,-4.9338530594,-0.286643586,-11.8252320951,0.2527797627,32.7336353509,2591.2130151301,1857.6890687438,1862.8589552104,675.5771802704,885.0825842419,591.7367255513,636.465962697,289.4600233975,337.0307693478,352.3208066579,206.5416061186
"User_40722",0.637375,0.1646875,123.197375,0.068625,0.20582475,0.02363417,0.749875,-7.023125,0.651,46.7823502815,35.2621276869,-15.0481630553,3.0399139327,25.9441470598,-20.6692126851,-3.487976848,-3.6635966389,-4.7307753592,0.7260671862,-13.4215427942,2.7625704899,35.5573511875,2746.6935068738,2529.0738504655,2681.0435253442,1006.8421938324,1400.3729191911,667.0760034753,717.3127402498,298.0382992584,434.5468925029,445.8194303091,229.8904682807
"User_501672",0.6465166667,0.1977916667,117.9150833333,0.0744833333,0.2448716667,0.000204785,0.6896666667,-6.7755,0.6365,48.431009858,35.4964238075,11.3406180247,-1.6033471689,23.3278492689,-17.4323116097,-3.9093397724,0.8385593248,-10.1455693449,1.2068847773,-11.7031431954,-3.5467158428,35.7285864881,2389.4772138372,1929.2159921001,2006.6267820234,723.4049453359,947.435512333,611.4916155385,572.5764982988,260.4360727275,295.1417229845,371.3132497891,213.0925898773
